ID Household Income Bucket,Household Income Bucket,ID Year,Year,Household Income,Household Income Moe,Geography,ID Geography,Slug Geography,share
8,"$45,000-$49,999",2020,2020,6428,718,District 6,50000US3406,congressional-district-6-nj,0.025023942
9,"$50,000-$59,999",2020,2020,15183,871,District 6,50000US3406,congressional-district-6-nj,0.059106799
10,"$60,000-$74,999",2020,2020,21864,1172,District 6,50000US3406,congressional-district-6-nj,0.08511566
11,"$75,000-$99,999",2020,2020,33067,1380,District 6,50000US3406,congressional-district-6-nj,0.128728482
12,"$100,000-$124,999",2020,2020,28596,1095,District 6,50000US3406,congressional-district-6-nj,0.111323061
13,"$125,000-$149,999",2020,2020,22090,1033,District 6,50000US3406,congressional-district-6-nj,0.085995469
14,"$150,000-$199,999",2020,2020,29428,1310,District 6,50000US3406,congressional-district-6-nj,0.114562003
15,"$200,000+",2020,2020,35136,1520,District 6,50000US3406,congressional-district-6-nj,0.136783014
0,"< $10,000",2020,2020,6716,632,District 7,50000US3407,congressional-district-7-nj,0.024932249
1,"$10,000-$14,999",2020,2020,4918,554,District 7,50000US3407,congressional-district-7-nj,0.018257415
2,"$15,000-$19,999",2020,2020,5262,560,District 7,50000US3407,congressional-district-7-nj,0.019534469
3,"$20,000-$24,999",2020,2020,6435,649,District 7,50000US3407,congressional-district-7-nj,0.023889075
4,"$25,000-$29,999",2020,2020,5501,711,District 7,50000US3407,congressional-district-7-nj,0.020421725
5,"$30,000-$34,999",2020,2020,5747,561,District 7,50000US3407,congressional-district-7-nj,0.021334967
6,"$35,000-$39,999",2020,2020,5765,555,District 7,50000US3407,congressional-district-7-nj,0.021401789
7,"$40,000-$44,999",2020,2020,5253,540,District 7,50000US3407,congressional-district-7-nj,0.019501058
8,"$45,000-$49,999",2020,2020,5183,475,District 7,50000US3407,congressional-district-7-nj,0.019241192
9,"$50,000-$59,999",2020,2020,12661,958,District 7,50000US3407,congressional-district-7-nj,0.047002265
10,"$60,000-$74,999",2020,2020,19568,1025,District 7,50000US3407,congressional-district-7-nj,0.072643576
11,"$75,000-$99,999",2020,2020,29874,1195,District 7,50000US3407,congressional-district-7-nj,0.110903219
12,"$100,000-$124,999",2020,2020,28356,1292,District 7,50000US3407,congressional-district-7-nj,0.105267847
13,"$125,000-$149,999",2020,2020,22164,928,District 7,50000US3407,congressional-district-7-nj,0.082280878
14,"$150,000-$199,999",2020,2020,35689,1346,District 7,50000US3407,congressional-district-7-nj,0.132490626
15,"$200,000+",2020,2020,70278,1540,District 7,50000US3407,congressional-district-7-nj,0.26089765
0,"< $10,000",2020,2020,18616,1121,District 8,50000US3408,congressional-district-8-nj,0.064706966
1,"$10,000-$14,999",2020,2020,12899,984,District 8,50000US3408,congressional-district-8-nj,0.044835365
2,"$15,000-$19,999",2020,2020,12332,930,District 8,50000US3408,congressional-district-8-nj,0.042864542
3,"$20,000-$24,999",2020,2020,12088,881,District 8,50000US3408,congressional-district-8-nj,0.042016427
4,"$25,000-$29,999",2020,2020,11823,949,District 8,50000US3408,congressional-district-8-nj,0.041095319
5,"$30,000-$34,999",2020,2020,12278,1029,District 8,50000US3408,congressional-district-8-nj,0.042676844
6,"$35,000-$39,999",2020,2020,11611,991,District 8,50000US3408,congressional-district-8-nj,0.040358433
7,"$40,000-$44,999",2020,2020,11540,1043,District 8,50000US3408,congressional-district-8-nj,0.040111645
8,"$45,000-$49,999",2020,2020,10406,859,District 8,50000US3408,congressional-district-8-nj,0.036169998
9,"$50,000-$59,999",2020,2020,20094,1313,District 8,50000US3408,congressional-district-8-nj,0.069844315
10,"$60,000-$74,999",2020,2020,25624,1248,District 8,50000US3408,congressional-district-8-nj,0.089065927
11,"$75,000-$99,999",2020,2020,32002,1315,District 8,50000US3408,congressional-district-8-nj,0.111235084
12,"$100,000-$124,999",2020,2020,24701,1361,District 8,50000US3408,congressional-district-8-nj,0.085857691
13,"$125,000-$149,999",2020,2020,16639,969,District 8,50000US3408,congressional-district-8-nj,0.057835153
14,"$150,000-$199,999",2020,2020,22769,975,District 8,50000US3408,congressional-district-8-nj,0.079142292
15,"$200,000+",2020,2020,32275,1123,District 8,50000US3408,congressional-district-8-nj,0.112183999
0,"< $10,000",2020,2020,15041,930,District 9,50000US3409,congressional-district-9-nj,0.055908055
1,"$10,000-$14,999",2020,2020,9980,747,District 9,50000US3409,congressional-district-9-nj,0.037096097
2,"$15,000-$19,999",2020,2020,11543,843,District 9,50000US3409,congressional-district-9-nj,0.042905836
3,"$20,000-$24,999",2020,2020,10216,855,District 9,50000US3409,congressional-district-9-nj,0.037973319
4,"$25,000-$29,999",2020,2020,10468,772,District 9,50000US3409,congressional-district-9-nj,0.038910014
5,"$30,000-$34,999",2020,2020,10638,852,District 9,50000US3409,congressional-district-9-nj,0.039541912
6,"$35,000-$39,999",2020,2020,9186,732,District 9,50000US3409,congressional-district-9-nj,0.034144764
7,"$40,000-$44,999",2020,2020,9044,836,District 9,50000US3409,congressional-district-9-nj,0.033616944
8,"$45,000-$49,999",2020,2020,8237,745,District 9,50000US3409,congressional-district-9-nj,0.030617289
9,"$50,000-$59,999",2020,2020,17175,1047,District 9,50000US3409,congressional-district-9-nj,0.063840227
10,"$60,000-$74,999",2020,2020,22409,1242,District 9,50000US3409,congressional-district-9-nj,0.083295234
11,"$75,000-$99,999",2020,2020,32316,1350,District 9,50000US3409,congressional-district-9-nj,0.120119986
12,"$100,000-$124,999",2020,2020,26629,1430,District 9,50000US3409,congressional-district-9-nj,0.098981158
13,"$125,000-$149,999",2020,2020,19433,1462,District 9,50000US3409,congressional-district-9-nj,0.072233311
14,"$150,000-$199,999",2020,2020,24732,1319,District 9,50000US3409,congressional-district-9-nj,0.091929926
15,"$200,000+",2020,2020,31984,1362,District 9,50000US3409,congressional-district-9-nj,0.118885928
0,"< $10,000",2020,2020,25526,1295,District 10,50000US3410,congressional-district-10-nj,0.092828232
1,"$10,000-$14,999",2020,2020,14068,915,District 10,50000US3410,congressional-district-10-nj,0.051159898
2,"$15,000-$19,999",2020,2020,12048,951,District 10,50000US3410,congressional-district-10-nj,0.043813936
3,"$20,000-$24,999",2020,2020,12679,866,District 10,50000US3410,congressional-district-10-nj,0.04610864
4,"$25,000-$29,999",2020,2020,12901,1249,District 10,50000US3410,congressional-district-10-nj,0.046915969
5,"$30,000-$34,999",2020,2020,12167,911,District 10,50000US3410,congressional-district-10-nj,0.044246693
6,"$35,000-$39,999",2020,2020,9717,849,District 10,50000US3410,congressional-district-10-nj,0.035336987
7,"$40,000-$44,999",2020,2020,11031,841,District 10,50000US3410,congressional-district-10-nj,0.040115499
8,"$45,000-$49,999",2020,2020,8463,730,District 10,50000US3410,congressional-district-10-nj,0.030776672
9,"$50,000-$59,999",2020,2020,20865,1339,District 10,50000US3410,congressional-district-10-nj,0.07587797
10,"$60,000-$74,999",2020,2020,25455,1561,District 10,50000US3410,congressional-district-10-nj,0.092570032
11,"$75,000-$99,999",2020,2020,33121,1596,District 10,50000US3410,congressional-district-10-nj,0.120448322
12,"$100,000-$124,999",2020,2020,22854,1335,District 10,50000US3410,congressional-district-10-nj,0.083111197
13,"$125,000-$149,999",2020,2020,14671,897,District 10,50000US3410,congressional-district-10-nj,0.053352777
14,"$150,000-$199,999",2020,2020,18350,1230,District 10,50000US3410,congressional-district-10-nj,0.066731883
15,"$200,000+",2020,2020,21065,1058,District 10,50000US3410,congressional-district-10-nj,0.076605293
0,"< $10,000",2020,2020,6822,689,District 11,50000US3411,congressional-district-11-nj,0.024895448
1,"$10,000-$14,999",2020,2020,4200,531,District 11,50000US3411,congressional-district-11-nj,0.015327013
2,"$15,000-$19,999",2020,2020,4696,526,District 11,50000US3411,congressional-district-11-nj,0.01713706
3,"$20,000-$24,999",2020,2020,5833,503,District 11,50000US3411,congressional-district-11-nj,0.021286301
4,"$25,000-$29,999",2020,2020,5433,704,District 11,50000US3411,congressional-district-11-nj,0.019826586
5,"$30,000-$34,999",2020,2020,5779,543,District 11,50000US3411,congressional-district-11-nj,0.02108924
6,"$35,000-$39,999",2020,2020,5725,540,District 11,50000US3411,congressional-district-11-nj,0.020892178
7,"$40,000-$44,999",2020,2020,5702,688,District 11,50000US3411,congressional-district-11-nj,0.020808244
8,"$45,000-$49,999",2020,2020,6042,746,District 11,50000US3411,congressional-district-11-nj,0.022049003
9,"$50,000-$59,999",2020,2020,12318,956,District 11,50000US3411,congressional-district-11-nj,0.044951939
10,"$60,000-$74,999",2020,2020,18555,1040,District 11,50000US3411,congressional-district-11-nj,0.067712553
11,"$75,000-$99,999",2020,2020,33654,1692,District 11,50000US3411,congressional-district-11-nj,0.122813164
12,"$100,000-$124,999",2020,2020,27557,1250,District 11,50000US3411,congressional-district-11-nj,0.10056345
13,"$125,000-$149,999",2020,2020,25968,1209,District 11,50000US3411,congressional-district-11-nj,0.09476473
14,"$150,000-$199,999",2020,2020,38065,1493,District 11,50000US3411,congressional-district-11-nj,0.138910176
15,"$200,000+",2020,2020,67677,1478,District 11,50000US3411,congressional-district-11-nj,0.246972915
0,"< $10,000",2020,2020,12791,979,District 12,50000US3412,congressional-district-12-nj,0.047369337
1,"$10,000-$14,999",2020,2020,8048,895,District 12,50000US3412,congressional-district-12-nj,0.029804427
2,"$15,000-$19,999",2020,2020,7685,752,District 12,50000US3412,congressional-district-12-nj,0.028460117
3,"$20,000-$24,999",2020,2020,8678,804,District 12,50000US3412,congressional-district-12-nj,0.032137527
4,"$25,000-$29,999",2020,2020,7198,868,District 12,50000US3412,congressional-district-12-nj,0.026656594
5,"$30,000-$34,999",2020,2020,9134,897,District 12,50000US3412,congressional-district-12-nj,0.033826247
6,"$35,000-$39,999",2020,2020,7197,670,District 12,50000US3412,congressional-district-12-nj,0.02665289
7,"$40,000-$44,999",2020,2020,7653,686,District 12,50000US3412,congressional-district-12-nj,0.02834161
8,"$45,000-$49,999",2020,2020,6890,735,District 12,50000US3412,congressional-district-12-nj,0.025515967
9,"$50,000-$59,999",2020,2020,15781,967,District 12,50000US3412,congressional-district-12-nj,0.058442304
10,"$60,000-$74,999",2020,2020,21361,1173,District 12,50000US3412,congressional-district-12-nj,0.079106904
11,"$75,000-$99,999",2020,2020,32952,1273,District 12,50000US3412,congressional-district-12-nj,0.122032241
12,"$100,000-$124,999",2020,2020,27133,1147,District 12,50000US3412,congressional-district-12-nj,0.100482544
13,"$125,000-$149,999",2020,2020,21684,1203,District 12,50000US3412,congressional-district-12-nj,0.080303081
14,"$150,000-$199,999",2020,2020,30967,1428,District 12,50000US3412,congressional-district-12-nj,0.114681124
15,"$200,000+",2020,2020,44875,1435,District 12,50000US3412,congressional-district-12-nj,0.166187085
0,"< $10,000",2020,2020,154067,3433.9999999999995,New Jersey,04000US34,new-jersey,0.047085714
1,"$10,000-$14,999",2020,2020,100910,2778,New Jersey,04000US34,new-jersey,0.030839956
2,"$15,000-$19,999",2020,2020,105337,2177,New Jersey,04000US34,new-jersey,0.032192928
3,"$20,000-$24,999",2020,2020,113786,2893,New Jersey,04000US34,new-jersey,0.034775098454976595
4,"$25,000-$29,999",2020,2020,105225,2430,New Jersey,04000US34,new-jersey,0.032158699
5,"$30,000-$34,999",2020,2020,111896,2692,New Jersey,04000US34,new-jersey,0.03419748
6,"$35,000-$39,999",2020,2020,100528,3110,New Jersey,04000US34,new-jersey,0.030723209335787247
7,"$40,000-$44,999",2020,2020,102482,2694,New Jersey,04000US34,new-jersey,0.031320387744212044
8,"$45,000-$49,999",2020,2020,92714,2675,New Jersey,04000US34,new-jersey,0.028335107
9,"$50,000-$59,999",2020,2020,199515,3838,New Jersey,04000US34,new-jersey,0.060975461
10,"$60,000-$74,999",2020,2020,273508,4047.0000000000005,New Jersey,04000US34,new-jersey,0.083589085
11,"$75,000-$99,999",2020,2020,401811,4681,New Jersey,04000US34,new-jersey,0.1228008461963036
12,"$100,000-$124,999",2020,2020,332973,4556,New Jersey,04000US34,new-jersey,0.10176268484566575
13,"$125,000-$149,999",2020,2020,250856,4210,New Jersey,04000US34,new-jersey,0.076666216
14,"$150,000-$199,999",2020,2020,341209,4500,New Jersey,04000US34,new-jersey,0.1042797582191492
15,"$200,000+",2020,2020,485237,5386,New Jersey,04000US34,new-jersey,0.14829736917544759
